0,随机因子,image: url(:/resource/mutator/Random.png);,0,0,激活一个尚未在该游戏中被选择的突变因子。
1,进攻部署,image: url(:/resource/mutator/Aggressive Deployment.png);,1,0,周期性地将额外的敌方单位部署到战场上。
2,异形寄生,image: url(:/resource/mutator/Alien Incubation.png);,8,0,所有敌方单位在死亡时会孵化巢虫。
3,复仇战士,image: url(:/resource/mutator/Avenger.png);,5,0,当附近的敌方单位死亡时，敌方单位的攻击速度、移动速度、护甲、生命值以及生命回复速度提高。
4,减伤屏障,image: url(:/resource/mutator/Barrier.png);,10,0,敌方单位和建筑在第一次受到伤害时会获得一个临时护盾。
5,黑死病,image: url(:/resource/mutator/Black Death.png);,5,0,一些敌方单位携带着一种疫病，不仅会持续造成伤害，还会传染给附近的其它单位。此类敌人被消灭时，他们会把这种疫病传染给你的单位。
6,暴风雪,image: url(:/resource/mutator/Blizzard.png);,6,0,风暴雷云在地图。上飘荡，对位于其行进路线上的玩家单位造成伤害并将其冻结。
7,炸弹机器人,image: url(:/resource/mutator/Boom Bots.png);,6,0,对一切都毫不在意的机器人携带着聚变弹头朝你的基地进发。一名玩家必须识别出拆弹的顺序，另一名玩家则必须正确输入才能解除危机。
8,震荡攻击,image: url(:/resource/mutator/Concussive Attacks.png);,10,0,玩家单位会被所有敌方攻击减速。
9,暗无天日,image: url(:/resource/mutator/Darkness.png);,5,0,先前探索过的区域若离开了玩家的视野范围将会重新变成一片黑色。
10,伤害散射,image: url(:/resource/mutator/Diffusion.png);,9,0,对敌人造成的伤害将平摊给所有附近的单位，包括你的单位。
11,双重压力,image: url(:/resource/mutator/Double-Edged.png);,4,0,你的单位也会受到他们自身造成的所有伤害，但是会持续恢复。
12,强行征用,image: url(:/resource/mutator/Eminent Domain.png);,2,0,敌人摧毁你的建筑后将获得建筑的控制权。
13,闪避机动,image: url(:/resource/mutator/Evasive Maneuvers.png);,5,0,敌方单位受到伤害时将传送一小段距离。
14,致命勾引,image: url(:/resource/mutator/Fatal Attraction.png);,9,0,敌方单位或建筑被摧毁后，你附近的任何单位将被牵拉至被它们的位置。
15,无边恐惧,image: url(:/resource/mutator/Fear.png);,8,0,玩家的单位在受到伤害时会不时地停止攻击，并且害怕地到处乱跑。
16,核弹打击,image: url(:/resource/mutator/Going Nuclear.png);,8,0,核弹会随机在整张地图.上进行发射。
17,坚强意志,image: url(:/resource/mutator/Hardened Will.png);,1,0,敌方英雄单位附近有任何非英雄敌方单位时，其所受到的伤害最高不超过10
18,风暴英雄,image: url(:/resource/mutator/Heroes from the Storm.png);,4,0,每一轮攻击波次都会由实力越来越强的英雄率领。
19,鼓舞人心,image: url(:/resource/mutator/Inspiration.png);,1,0,敌方英雄单位提高小范围内所有敌人的攻击速度和护甲。
20,给我死吧,image: url(:/resource/mutator/Just Die!.png);,10,0,敌方单位死亡后会自动复活。
21,杀戮机器人,image: url(:/resource/mutator/Kill Bots.png);,10,0,来源不明的进攻性机器人已被释放到了科普卢星区，意图制造毁灭。经过用心险恶的工程改造后，它们在达到预先设定的击杀数量之前都是无敌的存在。
22,激光钻机,image: url(:/resource/mutator/Laser Drill.png);,7,0,一台敌方激光钻机会不停地攻击位于敌人视野范围内的玩家单位。
23,岩浆爆发,image: url(:/resource/mutator/Lava Burst.png);,9,0,岩浆会周期性地在随机位置从地下喷发，并对玩家的空中和地面单位造成伤害。
24,生命吸取,image: url(:/resource/mutator/Life Leech.png);,4,0,敌方单位和建筑在造成伤害时偷取生命值或护盾。
25,超远视距,image: url(:/resource/mutator/Long Range.png);,8,0,敌方单位和建筑的武器射程与视野范围提高。
26,强磁雷场,image: url(:/resource/mutator/Mag-nificent.png);,5,0,麦格天雷会在任务一开始布满整个地图。
27,拿钱说话,image: url(:/resource/mutator/Micro Transactions.png);,3,0,对你的单位发出指令会消耗资源，数量取决于该单位的生产价格。
28,晶矿护盾,image: url(:/resource/mutator/Mineral Shields.png);,6,0,玩家基地中的晶体矿簇会被周期性包覆层护盾，必须将其摧毁才能继续采集资源。
29,扫雷专家,image: url(:/resource/mutator/Minesweeper.png);,6,0,数量庞大的寡妇雷和蜘蛛雷遍布整个战场。
30,飞弹大战,image: url(:/resource/mutator/Missile Command.png);,2,0,你的建筑会不停地遭受飞弹轰炸的袭击，你必须将它们击落。
31,默哀,image: url(:/resource/mutator/Moment Of Silence.png);,6,0,敌方英雄单位死亡时，在其周围的所有玩家单位都会反思自己的过错，无法攻击或使用技能。
